reporter,partner,trade_value,year
Japan,Malaysia,9825713,2023
Mexico,Japan,9563661,2022
Taiwan,Mexico,6601173,2023
Germany,Japan,7424587,2022
China,USA,5970683,2021
Mexico,South Korea,8091689,2022
Taiwan,Germany,4916820,2023
India,USA,2363225,2021
Japan,USA,4596353,2022
India,Malaysia,5031909,2023
South Korea,India,9961975,2022
China,USA,7489244,2022
Germany,Vietnam,6403624,2021
Mexico,India,9891535,2023
Malaysia,China,5390774,2021
China,Taiwan,9267197,2022
India,Vietnam,4913415,2021
China,South Korea,973942,2022
China,Japan,3618587,2021
India,Vietnam,7170263,2023
Germany,Malaysia,5751384,2022
Germany,Malaysia,5497065,2023
USA,Malaysia,9080210,2021
China,Germany,9515527,2023
India,USA,7662219,2021
Germany,Mexico,847206,2022
Malaysia,Germany,2039404,2023
Mexico,USA,205824,2022
Germany,USA,2586846,2023
Mexico,Germany,3532005,2022
Vietnam,South Korea,1161536,2022
China,Vietnam,7872752,2023
Germany,South Korea,7328798,2021
South Korea,Malaysia,9691342,2021
India,Japan,8994409,2023
China,Mexico,2940716,2022
Germany,China,8965539,2021
USA,Taiwan,9523324,2021
Vietnam,Japan,6755739,2022
Germany,South Korea,2328983,2021
China,Taiwan,3691433,2021
USA,Vietnam,4004290,2022
Malaysia,USA,1513166,2022
Japan,Malaysia,8073553,2021
Vietnam,Germany,9856443,2023
Vietnam,USA,3113893,2021
Mexico,Taiwan,3435599,2023
Germany,China,8790275,2022
Vietnam,China,9536218,2023
Malaysia,India,2975626,2021
Taiwan,China,4914513,2022
Germany,USA,6073271,2023
Japan,Taiwan,9158967,2023
USA,Germany,100027,2022
Taiwan,Japan,935912,2022
Taiwan,India,674717,2023
Germany,Japan,9947668,2023
Taiwan,Mexico,8905997,2022
Germany,USA,9952852,2021
Japan,Germany,1494717,2023
India,USA,2364578,2021
China,Mexico,7938723,2023
Germany,Vietnam,3136771,2022
Germany,China,6777549,2022
Germany,Taiwan,4708046,2021
Mexico,Germany,7410934,2022
Mexico,Japan,8539224,2023
Mexico,Vietnam,9006352,2023
Vietnam,China,8427495,2023
China,Malaysia,9350864,2021
Germany,India,3943631,2021
Japan,Malaysia,9152782,2021
Malaysia,Japan,7782991,2023
Japan,USA,8464234,2022
Vietnam,Malaysia,5832472,2021
China,Mexico,6040867,2021
Japan,Germany,502263,2022
Mexico,Taiwan,3688987,2022
Mexico,Taiwan,5859222,2021
China,Japan,3925425,2021
China,South Korea,6781744,2022
Mexico,Germany,526960,2021
Vietnam,Germany,4264082,2023
Japan,India,7430118,2022
China,India,1728596,2021
USA,Germany,6963994,2022
Germany,Japan,4908393,2021
Vietnam,Mexico,2980694,2021
South Korea,Germany,5557733,2023
Mexico,Taiwan,4270812,2022
Vietnam,Japan,8325338,2022
South Korea,Taiwan,8863408,2022
Vietnam,USA,5901013,2022
Japan,Malaysia,809824,2022
Germany,Malaysia,7265553,2022
USA,Malaysia,4548340,2021
Japan,USA,3076416,2023
Germany,Taiwan,2521261,2022
Japan,Vietnam,8490982,2021
Taiwan,Malaysia,9055548,2023
USA,South Korea,9452199,2021
China,South Korea,3634869,2023
India,Taiwan,912597,2022
Japan,Taiwan,4047835,2021
Mexico,Japan,5462267,2021
China,South Korea,8098886,2023
Taiwan,China,7892610,2021
South Korea,India,8968922,2023
Mexico,China,793545,2022
